"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"SF_ID";"TP_SIGNAL_NAME";"VALUE";
"2";"";"434153017835";"434153017835";"S2, S3";"WS-TASV";"";"";"";"";
"1";"";"452403012014";"452403012014";"S1";"WS-SLSV";"";"";"";"";
"1";"";"DIODESOD";"SOD-323";"D2";"Diode";"";"";"";"";
"1";"";"JST_2MM_MALE";"JST-2-SMD";"J1";"JST 2MM MALE RA CONNECTOR";"CONN-11443";"PRT-08612";"";"";
"1";"";"M06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"JP2";"Header 6";"CONN-08437";"";"";"";
"1";"";"USB-ABIN&OUT";"USB-AB-MICRO-SMD-V03-IN&OUT";"X1";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"";"";"";"";
"1";"0";"GND-JUMP";"GND-JUMP";"R30";"Zero-Ohm trace for connecting different ground planes at a single point.";"";"";"";"";
"2";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"C12, C14";"CAP-00810";"CAP-00810";"";"";"0.1uF";
"2";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP@2";"C24, C25";"CAP-08604";"CAP-08604";"";"";"0.1uF";
"2";"0.1uF";"CAP0402-CAP";"0402-CAP";"C26, C31";"Capacitor";"";"";"";"";
"2";"0.1uF";"CAP0603-CAP";"0603-CAP";"C1, C3";"Capacitor";"";"";"";"";
"2";"1";"RESISTOR0603-RES";"0603-RES";"R20, R21";"Resistor";"";"";"";"";
"1";"100K";"RESISTOR_0805MP";"_0805MP";"R19";"Resistors";"";"";"";"";
"1";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"R17";"RES-00824";"RES-00824";"";"";"10K";
"3";"10K";"RESISTOR0603-RES";"0603-RES";"R2, R12, R22";"Resistor";"";"";"";"";
"1";"10k";"RESISTOR0402-RES";"0402-RES";"R28";"Resistor";"";"";"";"";
"3";"10uF";"CAP_POL1206";"EIA3216";"C13, C19, C27";"Capacitor Polarized";"";"";"";"";
"1";"16MHZ";"RESONATOR16MHZ";"RESONATOR-SMD";"Q2";"Resonator";"XTAL-08900";"";"";"16MHZ";
"1";"16MHz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Y1";"Crystals";"";"";"";"";
"1";"1K";"1KOHM-1/10W-1%(0603)";"0603-RES";"R32";"RES-07856";"RES-07856";"";"";"1K";
"1";"1K";"RESISTOR0603-RES";"0603-RES";"R11";"Resistor";"";"";"";"";
"1";"1uF";"CAP0402-CAP";"0402-CAP";"C28";"Capacitor";"";"";"";"";
"3";"1uF";"CAP0603-CAP";"0603-CAP";"C5, C6, C10";"Capacitor";"";"";"";"";
"1";"1uF";"CAP_CERAMIC0805_10MGAP";"0805_10MGAP";"C7";"Ceramic Capacitors";"";"";"";"";
